                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1714,                0.87599,                 1.2375,                0.73446,                0.86848,                0.85145,                0.47661,                 1.5509,                 1.0087,                 1.6206,              0.0013639,              0.0013639,              0.0013639
                     48,                 1.1819,                 0.9076,                 1.2415,                0.68873,                0.89018,                0.87531,                0.49883,                 1.4472,                0.95779,                 1.5627,              0.0013625,              0.0013625,              0.0013625
                     49,                 1.1697,                0.92276,                 1.2569,                0.76933,                0.88817,                0.87222,                 0.4937,                 1.4649,                0.94725,                 1.5977,              0.0013611,              0.0013611,              0.0013611
                     50,                 1.1868,                0.89257,                 1.2622,                0.74452,                0.81339,                0.84236,                0.47325,                 1.5008,                0.92745,                 1.5692,              0.0013597,              0.0013597,              0.0013597
                     51,                 1.1769,                0.90729,                 1.2459,                0.74005,                0.85334,                0.84466,                 0.4812,                 1.5325,                 0.9402,                 1.6152,              0.0013583,              0.0013583,              0.0013583
                     52,                  1.176,                0.90423,                 1.2405,                0.70873,                0.83549,                0.82643,                0.47743,                 1.4474,                0.94989,                 1.5789,              0.0013568,              0.0013568,              0.0013568
                     53,                 1.1896,                0.89901,                 1.2439,                0.74102,                0.80923,                0.85463,                 0.4916,                 1.4148,                0.95366,                 1.5192,              0.0013554,              0.0013554,              0.0013554
                     54,                 1.1532,                0.88609,                 1.2337,                 0.7308,                0.82526,                0.83716,                0.48024,                 1.4815,                0.97734,                 1.5257,               0.001354,               0.001354,               0.001354
                     55,                 1.1574,                0.87292,                 1.2471,                0.72331,                0.83354,                0.85419,                0.50357,                 1.4251,                 0.9524,                 1.5339,              0.0013526,              0.0013526,              0.0013526
                     56,                 1.1299,                0.86937,                 1.2427,                0.69535,                0.89079,                0.87139,                0.51004,                 1.4053,                0.93055,                 1.5492,              0.0013512,              0.0013512,              0.0013512
                     57,                 1.1497,                0.87307,                 1.2265,                0.66262,                0.85313,                0.85629,                0.50248,                 1.4746,                 0.9438,                 1.5535,              0.0013498,              0.0013498,              0.0013498
                     58,                 1.1517,                0.88396,                 1.2266,                0.74013,                0.87203,                0.85578,                0.50074,                 1.4822,                0.96412,                 1.5672,              0.0013484,              0.0013484,              0.0013484
                     59,                 1.1485,                0.87712,                 1.2247,                0.72352,                0.85893,                0.84316,                0.50279,                 1.4041,                 0.9139,                 1.5388,              0.0013469,              0.0013469,              0.0013469
                     60,                 1.1433,                0.87805,                 1.2267,                0.67538,                0.86702,                0.83577,                0.48157,                 1.4189,                 0.9529,                 1.5473,              0.0013455,              0.0013455,              0.0013455
                     61,                 1.1385,                0.85913,                 1.2241,                0.69112,                 0.8596,                0.85708,                0.48743,                 1.4248,                 0.9674,                 1.5334,              0.0013441,              0.0013441,              0.0013441
                     62,                 1.1305,                0.83605,                  1.234,                0.70153,                0.83884,                0.81521,                0.48947,                 1.3772,                0.93613,                 1.5244,              0.0013427,              0.0013427,              0.0013427
                     63,                 1.1293,                0.86722,                 1.2282,                0.73264,                0.82028,                0.85395,                 0.5049,                 1.4041,                0.95748,                  1.555,              0.0013413,              0.0013413,              0.0013413
                     64,                 1.1146,                0.85852,                 1.2094,                0.76681,                0.86679,                 0.8727,                0.49988,                 1.3938,                 0.9321,                 1.5454,              0.0013399,              0.0013399,              0.0013399
                     65,                  1.102,                0.84176,                 1.2169,                0.73354,                0.88103,                0.85669,                0.50698,                 1.3643,                0.91312,                 1.4786,              0.0013385,              0.0013385,              0.0013385
                     66,                 1.0734,                0.81778,                 1.1951,                0.74169,                0.88669,                0.86646,                0.49531,                 1.3885,                0.91979,                 1.5513,               0.001337,               0.001337,               0.001337
                     67,                  1.107,                0.82498,                 1.2184,                0.71767,                 0.8931,                0.88226,                0.51644,                 1.4203,                 0.9113,                 1.5569,              0.0013356,              0.0013356,              0.0013356
                     68,                 1.0751,                0.81915,                 1.2102,                 0.7787,                0.82634,                0.86597,                0.51108,                 1.4187,                0.92395,                 1.5092,              0.0013342,              0.0013342,              0.0013342
                     69,                 1.1066,                0.82091,                 1.2256,                0.73574,                0.89321,                0.84195,                0.48251,                 1.4097,                0.92716,                 1.5097,              0.0013328,              0.0013328,              0.0013328
                     70,                 1.1188,                0.83776,                 1.2021,                0.72868,                0.79844,                0.84569,                0.48829,                 1.4106,                0.94231,                 1.5441,              0.0013314,              0.0013314,              0.0013314
                     71,                 1.1183,                0.84091,                 1.2123,                0.75499,                0.86449,                0.87181,                0.51988,                 1.3606,                0.87868,                 1.4947,                0.00133,                0.00133,                0.00133
                     72,                 1.0895,                0.80034,                 1.2096,                 0.7618,                0.86729,                0.86861,                 0.5161,                 1.3965,                0.86991,                 1.5381,              0.0013286,              0.0013286,              0.0013286
                     73,                 1.0835,                0.81944,                 1.2064,                 0.8169,                0.79978,                0.86939,                0.49161,                 1.3776,                0.88662,                 1.4976,              0.0013271,              0.0013271,              0.0013271
                     74,                 1.1044,                0.84152,                 1.2163,                0.79133,                0.84011,                0.86911,                0.50444,                  1.395,                0.86699,                 1.4977,              0.0013257,              0.0013257,              0.0013257
                     75,                 1.0844,                0.84451,                 1.1966,                0.73849,                0.85173,                0.85452,                0.47831,                 1.4949,                0.92345,                 1.5622,              0.0013243,              0.0013243,              0.0013243
                     76,                 1.1204,                0.86495,                 1.2138,                0.72688,                0.88304,                0.85505,                0.50896,                 1.3598,                0.91075,                 1.4738,              0.0013229,              0.0013229,              0.0013229
                     77,                 1.0906,                0.80233,                 1.2157,                0.72744,                0.87902,                0.85531,                0.50328,                 1.3565,                 0.9041,                 1.5066,              0.0013215,              0.0013215,              0.0013215
                     78,                 1.0783,                0.80873,                 1.1997,                0.77131,                0.80145,                0.85228,                 0.5199,                 1.3955,                 0.8619,                 1.5332,              0.0013201,              0.0013201,              0.0013201
                     79,                 1.1179,                0.79673,                 1.2236,                0.80466,                0.80192,                0.85057,                0.49501,                 1.4393,                0.90882,                 1.5567,              0.0013187,              0.0013187,              0.0013187
                     80,                 1.0969,                0.80669,                 1.2122,                0.81278,                 0.8119,                0.85209,                0.50762,                 1.3767,                0.90419,                 1.4732,              0.0013172,              0.0013172,              0.0013172
                     81,                 1.0671,                0.80659,                 1.2021,                0.78291,                0.81862,                0.84653,                0.48812,                 1.4431,                0.89987,                 1.5658,              0.0013158,              0.0013158,              0.0013158
                     82,                 1.0744,                0.79908,                 1.1821,                0.79044,                0.81227,                0.85037,                0.50103,                 1.4023,                0.91034,                 1.5572,              0.0013144,              0.0013144,              0.0013144
                     83,                 1.0805,                0.80635,                 1.1992,                0.76647,                0.83588,                0.84215,                0.48832,                 1.4236,                0.93061,                 1.5951,               0.001313,               0.001313,               0.001313
                     84,                  1.037,                0.77263,                 1.1635,                 0.8335,                0.80692,                0.86396,                0.49402,                 1.3611,                0.87953,                 1.5053,              0.0013116,              0.0013116,              0.0013116
                     85,                  1.066,                0.80917,                 1.2024,                0.77778,                0.80491,                0.87425,                0.50439,                 1.3765,                0.90588,                 1.5063,              0.0013102,              0.0013102,              0.0013102
                     86,                 1.0708,                0.78969,                 1.1816,                0.71104,                0.86272,                0.83177,                0.48443,                  1.368,                0.94753,                 1.5234,              0.0013087,              0.0013087,              0.0013087
                     87,                 1.0372,                0.79897,                 1.1853,                0.72993,                0.85826,                0.85198,                0.51852,                 1.3665,                0.88465,                 1.5178,              0.0013073,              0.0013073,              0.0013073
                     88,                 1.0789,                0.79215,                 1.1993,                0.76489,                0.85566,                0.86355,                0.51145,                 1.4211,                0.87708,                 1.5425,              0.0013059,              0.0013059,              0.0013059
                     89,                 1.0846,                0.81272,                 1.1898,                0.78673,                0.84073,                0.85687,                 0.5163,                 1.3889,                0.93622,                 1.5454,              0.0013045,              0.0013045,              0.0013045
                     90,                  1.064,                0.79098,                 1.1948,                0.76444,                0.81406,                0.85218,                0.50476,                   1.34,                 0.8896,                  1.488,              0.0013031,              0.0013031,              0.0013031
                     91,                 1.0513,                0.80123,                 1.1704,                0.73139,                0.84911,                0.84857,                0.50893,                 1.3434,                 0.8877,                  1.495,              0.0013017,              0.0013017,              0.0013017
                     92,                 1.0216,                0.74501,                 1.1636,                0.79148,                0.82138,                0.85577,                0.51214,                 1.3776,                0.86973,                 1.5235,              0.0013003,              0.0013003,              0.0013003
                     93,                 1.0161,                0.75795,                 1.1603,                0.77081,                0.85948,                0.87008,                0.53278,                 1.3351,                0.85081,                  1.469,              0.0012988,              0.0012988,              0.0012988
                     94,                 1.0398,                0.77818,                 1.1654,                0.78658,                0.84697,                0.87351,                0.51474,                 1.3469,                0.84595,                 1.4794,              0.0012974,              0.0012974,              0.0012974
                     95,                 1.0384,                0.75086,                 1.1721,                0.80625,                0.83036,                0.86397,                0.52613,                 1.2736,                0.86384,                 1.4566,               0.001296,               0.001296,               0.001296
